pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
USD_CHF,short,165511,0.9145049999999999,2021-08-23 08:00:00+00:00,0.9157114285714285,2021-08-23 09:00:00+00:00,sl,-218.06,-1.06,2,False
USD_JPY,short,1774,109.7355,2021-08-23 15:00:00+00:00,109.8825,2021-08-24 07:00:00+00:00,flip_exit,-2.37,-0.66,16,False
USD_JPY,short,1774,109.6825,2021-08-24 15:00:00+00:00,109.92214285714286,2021-08-25 11:00:00+00:00,sl,-3.87,-1.02,21,False
GBP_USD,short,84607,1.37183,2021-08-26 13:00:00+00:00,1.3697832142857143,2021-08-27 02:00:00+00:00,sl,182.13,0.93,14,True
USD_JPY,long,1803,109.94449999999999,2021-08-30 13:00:00+00:00,109.84110714285714,2021-08-30 14:00:00+00:00,sl,-1.7,-1.05,2,False
USD_CHF,short,181276,0.914585,2021-08-31 06:00:00+00:00,0.91568,2021-08-31 06:00:00+00:00,sl,-216.78,-1.07,1,False
GBP_USD,long,143653,1.37975,2021-08-31 06:00:00+00:00,1.3783303571428571,2021-08-31 07:00:00+00:00,sl,-203.94,-1.04,2,False
EUR_USD,long,167571,1.18282,2021-08-31 06:00:00+00:00,1.1831835714285714,2021-08-31 12:00:00+00:00,sl,105.84,0.67,7,True
GBP_USD,long,68538,1.38526,2021-09-03 14:00:00+00:00,1.3864132142857144,2021-09-03 19:00:00+00:00,sl,135.18,0.69,6,True
USD_CHF,long,212534,0.915675,2021-09-06 09:00:00+00:00,0.9157,2021-09-06 10:00:00+00:00,sl,5.8,0.03,2,False
USD_CHF,long,85171,0.918505,2021-09-07 15:00:00+00:00,0.91853,2021-09-08 07:00:00+00:00,sl,2.32,0.01,17,False
AUD_USD,long,149826,0.7376,2021-09-09 08:00:00+00:00,0.73765,2021-09-09 09:00:00+00:00,sl,7.49,0.04,2,False
GBP_USD,long,121734,1.38116,2021-09-09 09:00:00+00:00,1.3812,2021-09-09 10:00:00+00:00,sl,4.87,0.02,2,False
AUD_USD,long,108345,0.73779,2021-09-09 10:00:00+00:00,0.7378399999999999,2021-09-09 14:00:00+00:00,sl,5.42,0.03,5,False
USD_CHF,long,111935,0.9178350000000001,2021-09-10 11:00:00+00:00,0.91786,2021-09-12 22:00:00+00:00,sl,3.05,0.02,12,False
USD_CHF,long,71848,0.920235,2021-09-15 17:00:00+00:00,0.9251628571428572,2021-09-16 12:00:00+00:00,tp,285.82,1.46,20,True
EUR_USD,short,95670,1.17533,2021-09-17 14:00:00+00:00,1.171152857142857,2021-09-20 02:00:00+00:00,tp,298.76,1.48,13,True
AUD_USD,short,88211,0.72733,2021-09-17 15:00:00+00:00,0.7242035714285714,2021-09-20 05:00:00+00:00,sl,239.34,1.15,15,True
USD_JPY,short,1928,109.76150000000001,2021-09-20 08:00:00+00:00,109.4557142857143,2021-09-20 12:00:00+00:00,tp,4.02,1.47,5,True
AUD_USD,short,81442,0.724,2021-09-21 16:00:00+00:00,0.72395,2021-09-22 01:00:00+00:00,sl,4.07,0.02,10,False
USD_CHF,long,72716,0.926845,2021-09-22 19:00:00+00:00,0.9239714285714286,2021-09-23 07:00:00+00:00,sl,-226.15,-1.03,13,False
EUR_USD,short,174488,1.17062,2021-09-24 13:00:00+00:00,1.1719575,2021-09-24 13:00:00+00:00,sl,-233.38,-1.03,1,False
GBP_USD,short,103654,1.36752,2021-09-24 12:00:00+00:00,1.36748,2021-09-24 13:00:00+00:00,sl,4.15,0.02,2,False
AUD_USD,short,94231,0.72651,2021-09-24 10:00:00+00:00,0.7260424999999999,2021-09-24 13:00:00+00:00,sl,125.88,0.59,4,True
GBP_USD,short,64138,1.36877,2021-09-24 14:00:00+00:00,1.36873,2021-09-24 16:00:00+00:00,sl,2.57,0.01,3,False
GBP_USD,short,73318,1.36445,2021-09-28 10:00:00+00:00,1.3588614285714284,2021-09-28 12:00:00+00:00,tp,306.21,1.48,3,True
USD_JPY,long,1888,111.92049999999999,2021-09-29 15:00:00+00:00,111.58757142857142,2021-09-30 14:00:00+00:00,sl,-5.63,-1.02,24,False
USD_CHF,long,109003,0.9285450000000001,2021-10-05 15:00:00+00:00,0.9266628571428571,2021-10-05 15:00:00+00:00,sl,-221.4,-1.04,1,False
USD_JPY,long,1846,112.04249999999999,2021-10-08 15:00:00+00:00,112.60999999999999,2021-10-11 03:00:00+00:00,tp,6.96,1.48,13,True
EUR_USD,short,122975,1.1555,2021-10-11 10:00:00+00:00,1.157252857142857,2021-10-11 11:00:00+00:00,sl,-215.56,-1.02,2,False
AUD_USD,long,82750,0.73092,2021-10-08 14:00:00+00:00,0.735907142857143,2021-10-11 13:00:00+00:00,tp,308.48,1.48,24,True
USD_JPY,long,1837,113.6685,2021-10-12 13:00:00+00:00,113.32114285714286,2021-10-13 14:00:00+00:00,sl,-5.63,-1.02,26,False
EUR_USD,long,179737,1.16148,2021-10-15 07:00:00+00:00,1.1604521428571428,2021-10-15 08:00:00+00:00,sl,-184.74,-1.04,2,False
GBP_USD,long,82026,1.3728,2021-10-15 10:00:00+00:00,1.3735714285714284,2021-10-15 12:00:00+00:00,sl,134.0,0.64,3,True
EUR_USD,long,90324,1.1656600000000001,2021-10-20 17:00:00+00:00,1.1632500000000001,2021-10-21 12:00:00+00:00,sl,-217.68,-1.02,20,False
USD_CHF,short,79610,0.919705,2021-10-20 15:00:00+00:00,0.9183267857142857,2021-10-21 14:00:00+00:00,sl,164.54,0.76,24,True
GBP_USD,long,50669,1.38163,2021-10-20 15:00:00+00:00,1.3774371428571428,2021-10-22 08:00:00+00:00,sl,-212.45,-1.01,42,False
EUR_USD,long,177525,1.16425,2021-10-22 08:00:00+00:00,1.1633282142857142,2021-10-22 11:00:00+00:00,sl,-163.64,-1.05,4,False
AUD_USD,long,88015,0.75087,2021-10-22 10:00:00+00:00,0.7484471428571429,2021-10-22 14:00:00+00:00,sl,-213.25,-1.02,5,False
AUD_USD,long,129931,0.75014,2021-10-25 08:00:00+00:00,0.7485792857142858,2021-10-25 09:00:00+00:00,sl,-202.79,-1.03,2,False
GBP_USD,long,119275,1.37851,2021-10-26 09:00:00+00:00,1.3816535714285714,2021-10-26 10:00:00+00:00,tp,279.42,1.46,2,True
