time,equity
2021-06-14 00:00:00+00:00,10000.0
2021-06-14 04:00:00+00:00,10000.0
2021-06-14 08:00:00+00:00,10000.0
2021-06-14 12:00:00+00:00,10000.0
2021-06-14 16:00:00+00:00,10000.0
2021-06-14 20:00:00+00:00,10000.0
2021-06-15 00:00:00+00:00,10000.0
2021-06-15 04:00:00+00:00,10000.0
2021-06-15 08:00:00+00:00,10000.0
2021-06-15 12:00:00+00:00,10000.0
2021-06-15 16:00:00+00:00,10000.0
2021-06-15 20:00:00+00:00,10000.0
2021-06-16 00:00:00+00:00,10000.0
2021-06-16 04:00:00+00:00,10000.0
2021-06-16 08:00:00+00:00,10000.0
2021-06-16 12:00:00+00:00,10000.0
2021-06-16 16:00:00+00:00,10000.0
2021-06-16 20:00:00+00:00,10000.0
2021-06-17 00:00:00+00:00,10000.0
2021-06-17 04:00:00+00:00,10000.0
2021-06-17 08:00:00+00:00,10000.0
2021-06-17 12:00:00+00:00,10000.0
2021-06-17 16:00:00+00:00,10000.0
2021-06-17 20:00:00+00:00,10000.0
2021-06-18 00:00:00+00:00,10000.0
2021-06-18 04:00:00+00:00,10000.0
2021-06-18 08:00:00+00:00,10000.0
2021-06-18 12:00:00+00:00,10000.0
2021-06-18 16:00:00+00:00,10000.0
2021-06-18 20:00:00+00:00,10000.0
2021-06-20 20:00:00+00:00,10000.0
2021-06-21 00:00:00+00:00,10000.0
2021-06-21 04:00:00+00:00,10000.0
2021-06-21 08:00:00+00:00,10000.0
2021-06-21 12:00:00+00:00,10000.0
2021-06-21 16:00:00+00:00,10000.0
2021-06-21 20:00:00+00:00,10000.0
2021-06-22 00:00:00+00:00,10000.0
2021-06-22 04:00:00+00:00,10000.0
2021-06-22 08:00:00+00:00,10000.0
2021-06-22 12:00:00+00:00,10000.0
2021-06-22 16:00:00+00:00,10000.0
2021-06-22 20:00:00+00:00,10000.0
2021-06-23 00:00:00+00:00,10000.0
2021-06-23 04:00:00+00:00,10000.0
2021-06-23 08:00:00+00:00,10000.0
2021-06-23 12:00:00+00:00,10000.0
2021-06-23 16:00:00+00:00,10000.0
2021-06-23 20:00:00+00:00,10000.0
2021-06-24 00:00:00+00:00,10000.0
2021-06-24 04:00:00+00:00,10000.0
2021-06-24 08:00:00+00:00,10000.0
2021-06-24 12:00:00+00:00,10000.0
2021-06-24 16:00:00+00:00,10000.0
2021-06-24 20:00:00+00:00,10000.0
2021-06-25 00:00:00+00:00,10000.0
2021-06-25 04:00:00+00:00,10000.0
2021-06-25 08:00:00+00:00,10000.0
2021-06-25 12:00:00+00:00,10000.0
2021-06-25 16:00:00+00:00,10000.0
2021-06-25 20:00:00+00:00,10000.0
2021-06-27 20:00:00+00:00,10000.0
2021-06-28 00:00:00+00:00,10000.0
