pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
USD_JPY,short,1873,108.77,2021-08-04 13:00:00+00:00,108.96214285714285,2021-08-04 14:00:00+00:00,sl,-3.3,-1.0,2,False
EUR_USD,long,171926,1.18488,2021-08-05 08:00:00+00:00,1.1840282142857141,2021-08-05 08:00:00+00:00,sl,-146.44,-1.0,1,False
USD_JPY,short,1834,109.465,2021-08-05 11:00:00+00:00,109.64114285714285,2021-08-05 13:00:00+00:00,sl,-2.95,-1.0,3,False
GBP_USD,short,100362,1.38478,2021-08-12 12:00:00+00:00,1.38472,2021-08-12 13:00:00+00:00,sl,6.02,0.03,2,False
GBP_USD,short,87323,1.38386,2021-08-12 14:00:00+00:00,1.3816517857142856,2021-08-12 20:00:00+00:00,sl,200.39,0.96,7,True
USD_CHF,long,132422,0.92306,2021-08-12 14:00:00+00:00,0.92316,2021-08-12 21:00:00+00:00,sl,14.34,0.07,8,False
AUD_USD,short,118143,0.73412,2021-08-12 14:00:00+00:00,0.73402,2021-08-12 21:00:00+00:00,sl,11.81,0.06,8,False
USD_JPY,short,1870,109.792,2021-08-19 08:00:00+00:00,109.68710714285714,2021-08-19 09:00:00+00:00,sl,3.03,0.71,2,True
USD_JPY,short,1873,109.66,2021-08-19 10:00:00+00:00,109.681,2021-08-19 13:00:00+00:00,sl,-0.36,-0.08,4,False
USD_CHF,short,170801,0.91458,2021-08-23 08:00:00+00:00,0.9157114285714285,2021-08-23 09:00:00+00:00,sl,-211.04,-1.0,2,False
USD_JPY,short,1833,109.74,2021-08-23 15:00:00+00:00,109.878,2021-08-24 07:00:00+00:00,flip_exit,-2.3,-0.62,16,False
USD_JPY,short,1833,109.687,2021-08-24 15:00:00+00:00,109.92214285714286,2021-08-25 11:00:00+00:00,sl,-3.92,-1.0,21,False
GBP_USD,short,87427,1.37189,2021-08-26 13:00:00+00:00,1.3697232142857143,2021-08-27 02:00:00+00:00,sl,196.07,0.97,14,True
USD_JPY,long,1864,109.94,2021-08-30 13:00:00+00:00,109.84110714285714,2021-08-31 02:00:00+00:00,sl,-1.68,-1.0,14,False
USD_CHF,short,187479,0.91466,2021-08-31 06:00:00+00:00,0.91568,2021-08-31 06:00:00+00:00,sl,-208.84,-1.0,1,False
GBP_USD,long,148563,1.37969,2021-08-31 06:00:00+00:00,1.3783303571428571,2021-08-31 07:00:00+00:00,sl,-201.99,-1.0,2,False
EUR_USD,long,173296,1.18278,2021-08-31 06:00:00+00:00,1.1832235714285715,2021-08-31 12:00:00+00:00,sl,119.85,0.74,7,True
GBP_USD,long,71125,1.3852,2021-09-03 14:00:00+00:00,1.3864732142857144,2021-09-03 19:00:00+00:00,sl,146.68,0.72,6,True
USD_CHF,long,220713,0.9156,2021-09-06 09:00:00+00:00,0.9159057142857143,2021-09-06 14:00:00+00:00,sl,144.43,0.67,6,True
USD_CHF,long,89644,0.91843,2021-09-07 15:00:00+00:00,0.9197407142857142,2021-09-08 07:00:00+00:00,sl,166.68,0.81,17,True
AUD_USD,long,160236,0.73755,2021-09-09 08:00:00+00:00,0.73765,2021-09-09 09:00:00+00:00,sl,16.02,0.07,2,False
GBP_USD,long,130192,1.3811,2021-09-09 09:00:00+00:00,1.3812,2021-09-09 10:00:00+00:00,sl,13.02,0.06,2,False
AUD_USD,long,116049,0.73774,2021-09-09 10:00:00+00:00,0.7378399999999999,2021-09-09 15:00:00+00:00,sl,11.6,0.05,6,False
USD_CHF,long,119951,0.91776,2021-09-10 11:00:00+00:00,0.91786,2021-09-12 22:00:00+00:00,sl,13.07,0.06,12,False
USD_CHF,long,77066,0.92016,2021-09-15 17:00:00+00:00,0.9251628571428572,2021-09-16 11:00:00+00:00,tp,312.84,1.49,19,True
EUR_USD,short,102685,1.17537,2021-09-17 14:00:00+00:00,1.171152857142857,2021-09-20 02:00:00+00:00,tp,324.78,1.5,13,True
AUD_USD,short,94697,0.72738,2021-09-17 15:00:00+00:00,0.72268,2021-09-20 02:00:00+00:00,tp,333.81,1.5,12,True
USD_JPY,short,2084,109.766,2021-09-20 08:00:00+00:00,109.4557142857143,2021-09-20 12:00:00+00:00,tp,4.43,1.5,5,True
AUD_USD,short,88038,0.72405,2021-09-21 16:00:00+00:00,0.72395,2021-09-22 01:00:00+00:00,sl,8.8,0.04,10,False
USD_CHF,long,78629,0.92677,2021-09-22 19:00:00+00:00,0.9239714285714286,2021-09-23 07:00:00+00:00,sl,-238.16,-1.0,13,False
EUR_USD,short,188842,1.17066,2021-09-24 13:00:00+00:00,1.1719575,2021-09-24 13:00:00+00:00,sl,-245.02,-1.0,1,False
GBP_USD,short,112156,1.36758,2021-09-24 12:00:00+00:00,1.36748,2021-09-24 13:00:00+00:00,sl,11.22,0.05,2,False
AUD_USD,short,101960,0.72656,2021-09-24 10:00:00+00:00,0.7259924999999999,2021-09-24 13:00:00+00:00,sl,143.85,0.63,4,True
GBP_USD,short,69535,1.36883,2021-09-24 14:00:00+00:00,1.36873,2021-09-24 16:00:00+00:00,sl,6.95,0.03,3,False
GBP_USD,short,79518,1.36451,2021-09-28 10:00:00+00:00,1.3588614285714284,2021-09-28 12:00:00+00:00,tp,336.87,1.5,3,True
USD_JPY,long,2049,111.916,2021-09-29 15:00:00+00:00,111.58757142857142,2021-09-30 14:00:00+00:00,sl,-6.03,-1.0,24,False
USD_CHF,long,118260,0.92847,2021-10-05 15:00:00+00:00,0.9266628571428571,2021-10-05 15:00:00+00:00,sl,-230.63,-1.0,1,False
USD_JPY,long,2005,112.038,2021-10-08 15:00:00+00:00,112.60999999999999,2021-10-11 03:00:00+00:00,tp,7.65,1.49,13,True
EUR_USD,short,133572,1.15554,2021-10-11 10:00:00+00:00,1.157252857142857,2021-10-11 11:00:00+00:00,sl,-228.79,-1.0,2,False
AUD_USD,long,89862,0.73087,2021-10-08 14:00:00+00:00,0.735907142857143,2021-10-11 13:00:00+00:00,tp,339.49,1.5,24,True
USD_JPY,long,1997,113.664,2021-10-12 13:00:00+00:00,113.32114285714286,2021-10-13 14:00:00+00:00,sl,-6.04,-1.0,26,False
EUR_USD,long,195363,1.16144,2021-10-15 07:00:00+00:00,1.1604521428571428,2021-10-15 08:00:00+00:00,sl,-192.99,-1.0,2,False
GBP_USD,long,89217,1.37274,2021-10-15 10:00:00+00:00,1.3736314285714284,2021-10-15 12:00:00+00:00,sl,153.77,0.67,3,True
USD_CHF,short,86657,0.91978,2021-10-20 15:00:00+00:00,0.91968,2021-10-21 07:00:00+00:00,sl,9.42,0.04,17,False
EUR_USD,long,98312,1.16562,2021-10-20 17:00:00+00:00,1.1632500000000001,2021-10-21 12:00:00+00:00,sl,-233.0,-1.0,20,False
GBP_USD,long,55150,1.38157,2021-10-20 15:00:00+00:00,1.3774371428571428,2021-10-22 08:00:00+00:00,sl,-227.93,-1.0,42,False
EUR_USD,long,190383,1.16421,2021-10-22 08:00:00+00:00,1.16412,2021-10-22 09:00:00+00:00,sl,-17.13,-0.1,2,False
AUD_USD,long,94237,0.75082,2021-10-22 10:00:00+00:00,0.7484471428571429,2021-10-22 14:00:00+00:00,sl,-223.61,-1.0,5,False
AUD_USD,long,141515,0.75009,2021-10-25 08:00:00+00:00,0.7485792857142858,2021-10-25 09:00:00+00:00,sl,-213.79,-1.0,2,False
GBP_USD,long,129998,1.37845,2021-10-26 09:00:00+00:00,1.3816535714285714,2021-10-26 10:00:00+00:00,tp,312.34,1.5,2,True
GBP_USD,long,79349,1.38255,2021-10-26 11:00:00+00:00,1.3798457142857141,2021-10-26 12:00:00+00:00,sl,-214.58,-1.0,2,False
EUR_USD,long,184334,1.16226,2021-10-26 11:00:00+00:00,1.1610621428571428,2021-10-26 13:00:00+00:00,sl,-220.81,-1.0,3,False
USD_CHF,short,156677,0.91474,2021-11-01 11:00:00+00:00,0.9121685714285714,2021-11-01 13:00:00+00:00,tp,331.1,1.5,3,True
EUR_USD,short,183072,1.15888,2021-11-02 09:00:00+00:00,1.1599525,2021-11-02 10:00:00+00:00,sl,-196.34,-1.0,2,False
USD_CHF,short,118611,0.91138,2021-11-03 12:00:00+00:00,0.9130285714285714,2021-11-03 13:00:00+00:00,sl,-214.16,-1.0,2,False
EUR_USD,short,88673,1.15714,2021-11-04 08:00:00+00:00,1.1556614285714286,2021-11-04 12:00:00+00:00,sl,171.01,0.81,5,True
GBP_USD,short,79252,1.36333,2021-11-04 11:00:00+00:00,1.364,2021-11-04 12:00:00+00:00,sl,-53.1,-0.25,2,False
AUD_USD,short,85961,0.74123,2021-11-04 13:00:00+00:00,0.7402942857142858,2021-11-04 16:00:00+00:00,sl,143.86,0.69,4,True
AUD_USD,short,77475,0.73744,2021-11-09 16:00:00+00:00,0.73734,2021-11-10 08:00:00+00:00,sl,7.75,0.04,17,False
AUD_USD,short,65418,0.73456,2021-11-10 19:00:00+00:00,0.7315149999999999,2021-11-11 06:00:00+00:00,sl,207.02,0.96,12,True
EUR_USD,short,97036,1.1421,2021-11-15 17:00:00+00:00,1.1375542857142855,2021-11-15 20:00:00+00:00,tp,330.82,1.5,4,True
USD_CHF,long,99412,0.92183,2021-11-15 17:00:00+00:00,0.9240039285714285,2021-11-16 02:00:00+00:00,sl,227.01,1.03,10,True
AUD_USD,short,118229,0.73404,2021-11-16 06:00:00+00:00,0.73018,2021-11-16 19:00:00+00:00,tp,342.27,1.5,14,True
GBP_USD,short,110229,1.34666,2021-11-18 14:00:00+00:00,1.3488317857142857,2021-11-18 17:00:00+00:00,sl,-239.39,-1.0,4,False
EUR_USD,short,161923,1.12994,2021-11-19 10:00:00+00:00,1.13009,2021-11-19 11:00:00+00:00,sl,109.04,0.45,2,True
AUD_USD,short,104033,0.72382,2021-11-19 12:00:00+00:00,0.7260328571428571,2021-11-19 14:00:00+00:00,sl,-230.21,-1.0,3,False
USD_JPY,long,1956,114.612,2021-11-22 15:00:00+00:00,114.622,2021-11-22 16:00:00+00:00,sl,0.17,0.04,2,False
USD_JPY,long,1955,114.684,2021-11-22 17:00:00+00:00,114.98264285714286,2021-11-23 07:00:00+00:00,sl,5.02,1.01,15,True
EUR_USD,short,89749,1.12641,2021-11-29 08:00:00+00:00,1.128925714285714,2021-11-29 09:00:00+00:00,sl,-225.78,-1.0,2,False
AUD_USD,short,87943,0.71196,2021-11-30 08:00:00+00:00,0.7145014285714286,2021-11-30 13:00:00+00:00,sl,-223.5,-1.0,6,False
AUD_USD,short,31215,0.71026,2021-11-30 18:00:00+00:00,0.7172414285714286,2021-12-01 06:00:00+00:00,sl,-217.93,-1.0,13,False
GBP_USD,short,24200,1.32511,2021-11-30 17:00:00+00:00,1.3340392857142855,2021-12-01 13:00:00+00:00,sl,-216.09,-1.0,21,False
USD_CHF,short,70287,0.91809,2021-12-03 18:00:00+00:00,0.91799,2021-12-03 20:00:00+00:00,sl,7.66,0.04,3,False
USD_JPY,short,1835,112.6,2021-12-03 19:00:00+00:00,113.01857142857142,2021-12-05 23:00:00+00:00,sl,-6.8,-1.0,5,False
GBP_USD,short,129203,1.31906,2021-12-10 11:00:00+00:00,1.3206725,2021-12-10 12:00:00+00:00,sl,-208.34,-1.0,2,False
GBP_USD,short,144684,1.32258,2021-12-13 07:00:00+00:00,1.3240532142857144,2021-12-13 08:00:00+00:00,sl,-213.15,-1.0,2,False
AUD_USD,long,82623,0.71346,2021-12-14 12:00:00+00:00,0.7110471428571429,2021-12-14 14:00:00+00:00,sl,-199.36,-1.0,3,False
EUR_USD,short,74733,1.12663,2021-12-14 17:00:00+00:00,1.12653,2021-12-15 16:00:00+00:00,sl,7.47,0.04,24,False
USD_CHF,long,71813,0.92396,2021-12-14 16:00:00+00:00,0.9257010714285714,2021-12-15 16:00:00+00:00,sl,165.97,0.84,25,True
GBP_USD,short,62680,1.32172,2021-12-15 15:00:00+00:00,1.32388,2021-12-15 20:00:00+00:00,sl,32.15,0.16,6,True
USD_JPY,long,1744,113.732,2021-12-17 19:00:00+00:00,113.41942857142857,2021-12-20 05:00:00+00:00,sl,-4.81,-1.0,11,False
AUD_USD,short,165269,0.71267,2021-12-22 06:00:00+00:00,0.7139042857142858,2021-12-22 07:00:00+00:00,sl,-203.99,-1.0,2,False
EUR_USD,long,88292,1.1318,2021-12-29 14:00:00+00:00,1.136342857142857,2021-12-29 15:00:00+00:00,tp,300.82,1.5,2,True
GBP_USD,long,60685,1.34746,2021-12-29 15:00:00+00:00,1.34756,2021-12-29 16:00:00+00:00,sl,6.07,0.03,2,False
EUR_USD,long,71521,1.13492,2021-12-29 16:00:00+00:00,1.1320814285714285,2021-12-30 06:00:00+00:00,sl,-203.02,-1.0,15,False
USD_CHF,short,50845,0.91348,2021-12-29 16:00:00+00:00,0.9171442857142857,2021-12-30 07:00:00+00:00,sl,-203.14,-1.0,16,False
EUR_USD,long,87390,1.13432,2021-12-30 13:00:00+00:00,1.13202,2021-12-30 13:00:00+00:00,sl,-201.0,-1.0,1,False
GBP_USD,long,37647,1.35162,2021-12-30 13:00:00+00:00,1.3490385714285715,2021-12-30 13:00:00+00:00,sl,-97.18,-1.0,1,False
AUD_USD,long,87122,0.72599,2021-12-29 16:00:00+00:00,0.72609,2021-12-30 13:00:00+00:00,sl,8.71,0.04,22,False
AUD_USD,long,88794,0.7277,2021-12-31 18:00:00+00:00,0.7255442857142858,2022-01-03 01:00:00+00:00,sl,-191.41,-1.0,8,False
GBP_USD,long,49070,1.35452,2021-12-31 16:00:00+00:00,1.3506885714285715,2022-01-03 02:00:00+00:00,sl,-188.01,-1.0,11,False
USD_JPY,long,1551,115.304,2022-01-03 15:00:00+00:00,115.69057142857143,2022-01-04 03:00:00+00:00,tp,3.89,1.5,13,True
GBP_USD,long,71583,1.35114,2022-01-04 10:00:00+00:00,1.3485628571428572,2022-01-04 11:00:00+00:00,sl,-184.48,-1.0,2,False
AUD_USD,long,70107,0.7246,2022-01-04 16:00:00+00:00,0.725695,2022-01-05 16:00:00+00:00,sl,127.02,0.72,25,True
USD_CHF,long,109236,0.92152,2022-01-10 11:00:00+00:00,0.9246942857142857,2022-01-10 13:00:00+00:00,tp,281.4,1.5,3,True
AUD_USD,short,87351,0.71608,2022-01-10 16:00:00+00:00,0.71821,2022-01-11 00:00:00+00:00,sl,-186.06,-1.0,9,False
USD_JPY,long,1554,115.61,2022-01-11 14:00:00+00:00,115.38714285714285,2022-01-11 16:00:00+00:00,sl,-3.0,-1.0,3,False
EUR_USD,long,71862,1.14156,2022-01-12 15:00:00+00:00,1.1439867857142858,2022-01-13 06:00:00+00:00,sl,180.36,0.97,16,True
USD_JPY,short,1603,114.261,2022-01-19 07:00:00+00:00,114.48142857142857,2022-01-19 09:00:00+00:00,sl,-3.09,-1.0,3,False
GBP_USD,long,70462,1.36313,2022-01-19 11:00:00+00:00,1.36305,2022-01-19 12:00:00+00:00,sl,-5.64,-0.03,2,False
EUR_USD,short,63134,1.13274,2022-01-20 18:00:00+00:00,1.13264,2022-01-21 02:00:00+00:00,sl,6.31,0.03,9,False
USD_CHF,short,98456,0.91355,2022-01-21 09:00:00+00:00,0.9131464285714286,2022-01-21 11:00:00+00:00,sl,114.54,0.62,3,True
EUR_USD,short,88336,1.13043,2022-01-24 12:00:00+00:00,1.13033,2022-01-24 15:00:00+00:00,sl,8.83,0.05,4,False
USD_JPY,long,1619,114.674,2022-02-03 09:00:00+00:00,114.9382142857143,2022-02-03 12:00:00+00:00,tp,2.79,1.5,4,True
EUR_USD,long,58043,1.13644,2022-02-03 14:00:00+00:00,1.1429057142857142,2022-02-03 16:00:00+00:00,tp,281.47,1.5,3,True
USD_CHF,short,70338,0.91889,2022-02-03 16:00:00+00:00,0.9214185714285714,2022-02-03 17:00:00+00:00,sl,-193.02,-1.0,2,False
AUD_USD,long,66966,0.71416,2022-02-03 17:00:00+00:00,0.71148,2022-02-04 08:00:00+00:00,flip_exit,-179.47,-0.95,15,False
USD_JPY,long,1605,115.565,2022-02-10 09:00:00+00:00,115.87842857142857,2022-02-10 09:00:00+00:00,tp,3.26,1.5,1,True
GBP_USD,long,135715,1.35517,2022-02-10 09:00:00+00:00,1.3575657142857143,2022-02-10 10:00:00+00:00,tp,243.85,1.5,2,True
GBP_USD,long,134900,1.35698,2022-02-10 11:00:00+00:00,1.35708,2022-02-10 13:00:00+00:00,sl,13.49,0.07,3,False
AUD_USD,long,36371,0.72365,2022-02-10 16:00:00+00:00,0.7184492857142858,2022-02-10 19:00:00+00:00,sl,-189.16,-1.0,4,False
AUD_USD,long,56165,0.71697,2022-02-11 15:00:00+00:00,0.7136542857142857,2022-02-11 18:00:00+00:00,sl,-186.23,-1.0,4,False
USD_JPY,long,1569,115.724,2022-02-14 17:00:00+00:00,115.38785714285714,2022-02-14 19:00:00+00:00,sl,-4.57,-1.0,3,False
EUR_USD,short,51866,1.13566,2022-02-17 06:00:00+00:00,1.13337,2022-02-18 19:00:00+00:00,sl,151.78,0.82,38,True
EUR_USD,short,63643,1.133,2022-02-21 14:00:00+00:00,1.1319275,2022-02-22 00:00:00+00:00,sl,128.82,0.68,11,True
USD_CHF,short,107469,0.91882,2022-02-23 11:00:00+00:00,0.91844,2022-02-23 17:00:00+00:00,sl,118.98,0.62,7,True
USD_JPY,short,1654,114.564,2022-02-24 06:00:00+00:00,114.55399999999999,2022-02-24 07:00:00+00:00,sl,0.14,0.03,2,False
AUD_USD,long,47381,0.71988,2022-02-25 06:00:00+00:00,0.71894,2022-02-27 22:00:00+00:00,sl,-44.54,-0.23,17,False
AUD_USD,long,89826,0.72388,2022-02-28 15:00:00+00:00,0.7248789285714285,2022-03-01 03:00:00+00:00,sl,142.79,0.73,13,True
USD_CHF,short,109762,0.91712,2022-03-02 10:00:00+00:00,0.9187689285714286,2022-03-02 10:00:00+00:00,sl,-196.99,-1.0,1,False
USD_JPY,long,1627,115.269,2022-03-07 13:00:00+00:00,115.27900000000001,2022-03-07 19:00:00+00:00,sl,0.14,0.04,7,False
AUD_USD,long,89311,0.73101,2022-03-09 09:00:00+00:00,0.7316003571428571,2022-03-09 16:00:00+00:00,sl,120.62,0.64,8,True
EUR_USD,short,30639,1.10163,2022-03-10 15:00:00+00:00,1.10188,2022-03-10 16:00:00+00:00,sl,-7.66,-0.04,2,False
GBP_USD,short,37962,1.31075,2022-03-10 17:00:00+00:00,1.3077575,2022-03-11 10:00:00+00:00,sl,152.9,0.8,18,True
USD_JPY,long,1626,118.59,2022-03-16 18:00:00+00:00,119.05714285714285,2022-03-16 18:00:00+00:00,tp,4.79,1.5,1,True
EUR_USD,long,47065,1.10412,2022-03-22 14:00:00+00:00,1.0999742857142856,2022-03-23 09:00:00+00:00,sl,-195.12,-1.0,20,False
USD_JPY,long,1547,122.151,2022-03-25 14:00:00+00:00,123.93985714285714,2022-03-28 07:00:00+00:00,tp,16.79,1.48,18,True
USD_CHF,short,47691,0.93168,2022-03-29 15:00:00+00:00,0.93158,2022-03-29 16:00:00+00:00,sl,5.12,0.03,2,False
USD_CHF,short,56262,0.92037,2022-03-31 15:00:00+00:00,0.9235328571428572,2022-03-31 19:00:00+00:00,sl,-192.68,-1.0,5,False
GBP_USD,short,29007,1.30997,2022-04-05 16:00:00+00:00,1.30987,2022-04-06 08:00:00+00:00,sl,2.9,0.02,17,False
EUR_USD,short,71425,1.08922,2022-04-07 10:00:00+00:00,1.0918957142857144,2022-04-07 11:00:00+00:00,sl,-191.11,-1.0,2,False
USD_JPY,long,1441,126.134,2022-04-13 07:00:00+00:00,126.04,2022-04-13 08:00:00+00:00,sl,-1.07,-0.29,2,False
