pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
AUD_USD,short,90909,0.75665,2021-06-28 14:00:00+00:00,0.7522885714285715,2021-06-29 10:00:00+00:00,tp,396.49,1.98,21,False
EUR_USD,short,175638,1.18385,2021-07-02 07:00:00+00:00,1.1820985714285714,2021-07-02 10:00:00+00:00,tp,307.62,1.96,4,False
AUD_USD,short,86637,0.74713,2021-07-01 16:00:00+00:00,0.7496628571428571,2021-07-02 13:00:00+00:00,sl,-219.44,-1.02,22,False
GBP_USD,short,53315,1.38052,2021-06-30 16:00:00+00:00,1.3845385714285714,2021-07-02 18:00:00+00:00,sl,-214.25,-1.02,51,False
GBP_USD,short,76077,1.3845100000000001,2021-07-06 10:00:00+00:00,1.3872842857142857,2021-07-06 12:00:00+00:00,sl,-211.06,-1.02,3,False
EUR_USD,short,108109,1.18452,2021-07-06 09:00:00+00:00,1.1806542857142859,2021-07-07 13:00:00+00:00,tp,417.92,1.98,29,False
USD_CHF,long,118554,0.9234650000000001,2021-07-06 09:00:00+00:00,0.9266785714285715,2021-07-07 14:00:00+00:00,tp,411.13,1.95,30,False
GBP_USD,short,114614,1.37732,2021-07-08 07:00:00+00:00,1.37933,2021-07-08 09:00:00+00:00,sl,-230.37,-1.03,3,False
USD_JPY,short,1976,110.1615,2021-07-08 07:00:00+00:00,109.70971428571428,2021-07-08 12:00:00+00:00,tp,8.14,1.99,6,False
EUR_USD,short,112275,1.18526,2021-07-12 10:00:00+00:00,1.18726,2021-07-12 14:00:00+00:00,sl,-224.55,-1.02,5,False
GBP_USD,long,139221,1.38468,2021-07-14 07:00:00+00:00,1.387767857142857,2021-07-14 12:00:00+00:00,tp,429.89,1.96,6,False
AUD_USD,short,36579,0.75011,2021-07-06 15:00:00+00:00,0.74843,2021-07-14 13:00:00+00:00,flip_exit,61.45,0.3,142,False
USD_JPY,short,1973,110.17750000000001,2021-07-14 13:00:00+00:00,109.81428571428572,2021-07-15 06:00:00+00:00,tp,6.53,1.98,18,False
GBP_USD,long,49724,1.38727,2021-07-15 12:00:00+00:00,1.3827885714285715,2021-07-15 16:00:00+00:00,sl,-222.83,-1.01,5,False
EUR_USD,short,104185,1.1809399999999999,2021-07-15 12:00:00+00:00,1.1766057142857143,2021-07-19 08:00:00+00:00,tp,451.57,1.98,45,False
GBP_USD,short,139602,1.37307,2021-07-23 09:00:00+00:00,1.3747907142857143,2021-07-23 12:00:00+00:00,sl,-240.22,-1.04,4,False
USD_CHF,long,79025,0.919875,2021-07-22 16:00:00+00:00,0.9171714285714285,2021-07-26 07:00:00+00:00,sl,-232.94,-1.03,40,False
AUD_USD,short,112579,0.73498,2021-07-27 09:00:00+00:00,0.7369957142857142,2021-07-27 12:00:00+00:00,sl,-226.93,-1.03,4,False
GBP_USD,long,67536,1.38245,2021-07-27 13:00:00+00:00,1.388687142857143,2021-07-27 15:00:00+00:00,tp,421.23,1.98,3,False
USD_CHF,short,100730,0.914145,2021-07-27 13:00:00+00:00,0.91615,2021-07-28 12:00:00+00:00,sl,-220.45,-1.04,24,False
EUR_USD,long,95164,1.18136,2021-07-27 14:00:00+00:00,1.179037142857143,2021-07-28 13:00:00+00:00,sl,-221.05,-1.02,24,False
GBP_USD,long,130598,1.3977,2021-07-30 09:00:00+00:00,1.3959567857142856,2021-07-30 11:00:00+00:00,sl,-227.66,-1.04,3,False
GBP_USD,long,120237,1.39332,2021-08-03 12:00:00+00:00,1.3914664285714284,2021-08-03 12:00:00+00:00,sl,-222.87,-1.03,1,False
AUD_USD,long,102202,0.73748,2021-08-02 15:00:00+00:00,0.73623,2021-08-03 14:00:00+00:00,flip_exit,-127.75,-0.62,23,False
USD_JPY,short,1871,109.2295,2021-08-02 16:00:00+00:00,108.84799999999998,2021-08-04 12:00:00+00:00,tp,6.56,1.98,45,False
USD_JPY,short,1816,108.7655,2021-08-04 13:00:00+00:00,108.96214285714285,2021-08-04 14:00:00+00:00,sl,-3.28,-1.02,2,False
EUR_USD,long,166641,1.18492,2021-08-05 08:00:00+00:00,1.1840282142857141,2021-08-05 08:00:00+00:00,sl,-148.61,-1.05,1,False
USD_JPY,short,1776,109.46050000000001,2021-08-05 11:00:00+00:00,109.64114285714285,2021-08-05 13:00:00+00:00,sl,-2.93,-1.02,3,False
GBP_USD,short,97213,1.38472,2021-08-12 12:00:00+00:00,1.3806314285714285,2021-08-12 18:00:00+00:00,tp,397.46,1.97,7,False
USD_CHF,long,128201,0.923135,2021-08-12 14:00:00+00:00,0.9215971428571428,2021-08-13 11:00:00+00:00,sl,-213.93,-1.05,22,False
AUD_USD,short,114368,0.73407,2021-08-12 14:00:00+00:00,0.7358228571428571,2021-08-13 13:00:00+00:00,sl,-200.47,-1.03,24,False
USD_JPY,short,1767,109.78750000000001,2021-08-19 08:00:00+00:00,109.95049999999999,2021-08-23 06:00:00+00:00,flip_exit,-2.62,-0.65,46,False
USD_CHF,short,161315,0.9145049999999999,2021-08-23 08:00:00+00:00,0.9157114285714285,2021-08-23 09:00:00+00:00,sl,-212.53,-1.06,2,False
USD_JPY,short,1729,109.7355,2021-08-23 15:00:00+00:00,109.8825,2021-08-24 07:00:00+00:00,flip_exit,-2.31,-0.66,16,False
USD_JPY,short,1729,109.6825,2021-08-24 15:00:00+00:00,109.92214285714286,2021-08-25 11:00:00+00:00,sl,-3.77,-1.02,21,False
GBP_USD,short,82462,1.37183,2021-08-26 13:00:00+00:00,1.3742085714285717,2021-08-27 13:00:00+00:00,sl,-196.14,-1.03,25,False
USD_JPY,long,1689,109.94449999999999,2021-08-30 13:00:00+00:00,109.84110714285714,2021-08-30 14:00:00+00:00,sl,-1.59,-1.05,2,False
USD_CHF,short,169846,0.914585,2021-08-31 06:00:00+00:00,0.91568,2021-08-31 06:00:00+00:00,sl,-203.11,-1.07,1,False
GBP_USD,long,134595,1.37975,2021-08-31 06:00:00+00:00,1.3783303571428571,2021-08-31 07:00:00+00:00,sl,-191.08,-1.04,2,False
EUR_USD,long,157005,1.18282,2021-08-31 06:00:00+00:00,1.181840357142857,2021-08-31 13:00:00+00:00,sl,-153.81,-1.04,8,False
GBP_USD,long,62410,1.38526,2021-09-03 14:00:00+00:00,1.3823485714285715,2021-09-06 14:00:00+00:00,sl,-181.7,-1.02,25,False
USD_CHF,long,190841,0.915675,2021-09-06 09:00:00+00:00,0.9147064285714286,2021-09-07 00:00:00+00:00,sl,-202.08,-1.09,16,False
USD_CHF,long,73075,0.918505,2021-09-07 15:00:00+00:00,0.9226528571428572,2021-09-08 14:00:00+00:00,tp,328.51,1.96,24,False
GBP_USD,long,108527,1.38116,2021-09-09 09:00:00+00:00,1.384415,2021-09-09 13:00:00+00:00,tp,353.26,1.96,5,False
AUD_USD,long,133571,0.7376,2021-09-09 08:00:00+00:00,0.7361817857142857,2021-09-10 01:00:00+00:00,sl,-189.43,-1.04,18,False
USD_CHF,long,101489,0.9178350000000001,2021-09-10 11:00:00+00:00,0.9210342857142858,2021-09-13 07:00:00+00:00,tp,352.53,1.95,21,False
USD_CHF,long,67718,0.920235,2021-09-15 17:00:00+00:00,0.9251628571428572,2021-09-16 12:00:00+00:00,tp,360.7,1.96,20,False
EUR_USD,short,91040,1.17533,2021-09-17 14:00:00+00:00,1.171152857142857,2021-09-20 02:00:00+00:00,tp,380.29,1.98,13,False
AUD_USD,short,83123,0.72733,2021-09-17 15:00:00+00:00,0.72268,2021-09-20 09:00:00+00:00,tp,386.52,1.98,19,False
USD_JPY,short,1811,109.76150000000001,2021-09-20 08:00:00+00:00,109.4557142857143,2021-09-20 12:00:00+00:00,tp,5.06,1.98,5,False
