pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
USD_CHF,short,160840,0.9145049999999999,2021-08-23 08:00:00+00:00,0.9157114285714285,2021-08-23 09:00:00+00:00,sl,-211.9,-1.06,2,False
USD_JPY,short,94385,109.7355,2021-08-23 15:00:00+00:00,109.65417857142856,2021-08-24 13:00:00+00:00,sl,128.84,0.67,23,True
AUD_USD,short,95901,0.72376,2021-08-26 19:00:00+00:00,0.72371,2021-08-27 01:00:00+00:00,sl,4.8,0.02,7,False
GBP_USD,short,66139,1.37026,2021-08-26 17:00:00+00:00,1.37022,2021-08-27 05:00:00+00:00,sl,2.65,0.01,13,False
AUD_USD,long,44640,0.73164,2021-08-27 17:00:00+00:00,0.73169,2021-08-31 13:00:00+00:00,sl,2.23,0.01,45,False
USD_CHF,short,97273,0.912165,2021-08-31 13:00:00+00:00,0.9141014285714286,2021-08-31 14:00:00+00:00,sl,-206.06,-1.04,2,False
EUR_USD,long,89464,1.18443,2021-09-01 14:00:00+00:00,1.18449,2021-09-01 17:00:00+00:00,sl,5.37,0.03,4,False
GBP_USD,long,136261,1.37958,2021-09-02 10:00:00+00:00,1.3782342857142857,2021-09-02 12:00:00+00:00,sl,-183.37,-1.05,3,False
USD_CHF,long,80616,0.918505,2021-09-07 15:00:00+00:00,0.91853,2021-09-08 07:00:00+00:00,sl,2.19,0.01,17,False
GBP_USD,long,115224,1.38116,2021-09-09 09:00:00+00:00,1.3812,2021-09-09 10:00:00+00:00,sl,4.61,0.02,2,False
GBP_USD,long,76855,1.3811799999999999,2021-09-09 11:00:00+00:00,1.3860771428571426,2021-09-09 17:00:00+00:00,tp,281.13,1.48,7,True
USD_JPY,short,130291,109.6765,2021-09-20 09:00:00+00:00,109.57832142857143,2021-09-20 13:00:00+00:00,sl,154.44,0.78,5,True
AUD_USD,short,74293,0.724,2021-09-21 16:00:00+00:00,0.72395,2021-09-22 01:00:00+00:00,sl,3.71,0.02,10,False
USD_CHF,long,66333,0.926845,2021-09-22 19:00:00+00:00,0.9239714285714286,2021-09-23 07:00:00+00:00,sl,-206.3,-1.03,13,False
GBP_USD,short,67539,1.36652,2021-09-24 13:00:00+00:00,1.3694414285714285,2021-09-24 13:00:00+00:00,sl,-197.31,-1.02,1,False
AUD_USD,short,78796,0.72479,2021-09-24 12:00:00+00:00,0.7273157142857143,2021-09-27 00:00:00+00:00,sl,-199.02,-1.02,13,False
EUR_USD,short,113240,1.16888,2021-09-27 09:00:00+00:00,1.170592857142857,2021-09-27 10:00:00+00:00,sl,-193.96,-1.02,2,False
AUD_USD,short,65668,0.72539,2021-09-28 10:00:00+00:00,0.72534,2021-09-28 13:00:00+00:00,sl,3.28,0.02,4,False
EUR_USD,short,152982,1.15942,2021-10-05 06:00:00+00:00,1.1604992857142857,2021-10-05 07:00:00+00:00,sl,-165.11,-1.04,2,False
