time,open,high,low,close,volume
2024-01-01T22:00:00.000000000Z,1.1044,1.10453,1.1043,1.1045,188
2024-01-01T23:00:00.000000000Z,1.10446,1.10446,1.10356,1.10368,1018
2024-01-02T00:00:00.000000000Z,1.10367,1.10386,1.10342,1.10384,1328
2024-01-02T01:00:00.000000000Z,1.1038,1.10434,1.10342,1.1035,2435
2024-01-02T02:00:00.000000000Z,1.10351,1.10359,1.10184,1.1019,1968
2024-01-02T03:00:00.000000000Z,1.10189,1.10249,1.1018,1.10247,1364
2024-01-02T04:00:00.000000000Z,1.10245,1.10251,1.10166,1.10212,1322
2024-01-02T05:00:00.000000000Z,1.10211,1.10336,1.1021,1.10335,1864
2024-01-02T06:00:00.000000000Z,1.10334,1.10352,1.10268,1.10287,1888
2024-01-02T07:00:00.000000000Z,1.10286,1.10381,1.10152,1.10154,4863
2024-01-02T08:00:00.000000000Z,1.10156,1.1039,1.10156,1.10298,6321
2024-01-02T09:00:00.000000000Z,1.10294,1.10382,1.10107,1.10153,4744
2024-01-02T10:00:00.000000000Z,1.10151,1.1017,1.09972,1.10076,4730
2024-01-02T11:00:00.000000000Z,1.10074,1.10076,1.09666,1.09692,6040
2024-01-02T12:00:00.000000000Z,1.09694,1.09721,1.09536,1.0954,4771
2024-01-02T13:00:00.000000000Z,1.09542,1.09652,1.09492,1.09528,6187
2024-01-02T14:00:00.000000000Z,1.09529,1.09643,1.09448,1.09632,8001
2024-01-02T15:00:00.000000000Z,1.0963,1.09685,1.09412,1.09437,9201
2024-01-02T16:00:00.000000000Z,1.09438,1.09617,1.0941,1.09565,5354
2024-01-02T17:00:00.000000000Z,1.09566,1.09576,1.0946,1.09506,3908
2024-01-02T18:00:00.000000000Z,1.09506,1.0956,1.09464,1.09468,3149
2024-01-02T19:00:00.000000000Z,1.09464,1.09501,1.09429,1.09467,2303
2024-01-02T20:00:00.000000000Z,1.09465,1.09514,1.09422,1.09434,2737
2024-01-02T21:00:00.000000000Z,1.0943,1.09433,1.09383,1.09406,1285
2024-01-02T22:00:00.000000000Z,1.0946,1.09464,1.09394,1.09409,937
2024-01-02T23:00:00.000000000Z,1.09414,1.0944,1.0941,1.09416,868
2024-01-03T00:00:00.000000000Z,1.09418,1.09506,1.09413,1.09494,1297
2024-01-03T01:00:00.000000000Z,1.09494,1.0955,1.0945,1.09516,2582
2024-01-03T02:00:00.000000000Z,1.09516,1.09532,1.09487,1.09524,1583
2024-01-03T03:00:00.000000000Z,1.09522,1.09624,1.09488,1.0961,1778
2024-01-03T04:00:00.000000000Z,1.0961,1.09625,1.0959,1.09625,1284
2024-01-03T05:00:00.000000000Z,1.09626,1.09629,1.09512,1.09514,1883
2024-01-03T06:00:00.000000000Z,1.09514,1.0961,1.09512,1.09589,1732
2024-01-03T07:00:00.000000000Z,1.09584,1.09629,1.09516,1.09604,3609
2024-01-03T08:00:00.000000000Z,1.09605,1.09656,1.09502,1.09526,5869
2024-01-03T09:00:00.000000000Z,1.09526,1.09564,1.09348,1.09364,4524
2024-01-03T10:00:00.000000000Z,1.09364,1.09392,1.09263,1.0928,3816
2024-01-03T11:00:00.000000000Z,1.0928,1.09299,1.09156,1.09196,4362
2024-01-03T12:00:00.000000000Z,1.09194,1.09322,1.09146,1.09168,4223
2024-01-03T13:00:00.000000000Z,1.09167,1.09302,1.09102,1.09216,7633
2024-01-03T14:00:00.000000000Z,1.09218,1.09266,1.09098,1.09158,7863
2024-01-03T15:00:00.000000000Z,1.09135,1.09387,1.08982,1.09047,13292
2024-01-03T16:00:00.000000000Z,1.0905,1.09184,1.09029,1.09082,7301
2024-01-03T17:00:00.000000000Z,1.09082,1.09104,1.09034,1.09068,4345
2024-01-03T18:00:00.000000000Z,1.0907,1.0915,1.09029,1.09062,3800
2024-01-03T19:00:00.000000000Z,1.09061,1.09259,1.08929,1.09176,10761
2024-01-03T20:00:00.000000000Z,1.0918,1.09234,1.09151,1.09214,5354
