time,open,high,low,close,volume
2024-01-01T22:00:00.000000000Z,140.858,140.993,140.858,140.902,388
2024-01-01T23:00:00.000000000Z,140.902,141.132,140.811,141.116,3558
2024-01-02T00:00:00.000000000Z,141.115,141.384,141.1,141.142,3790
2024-01-02T01:00:00.000000000Z,141.146,141.458,141.142,141.44,4419
2024-01-02T02:00:00.000000000Z,141.441,141.673,141.366,141.565,3846
2024-01-02T03:00:00.000000000Z,141.561,141.672,141.496,141.502,3426
2024-01-02T04:00:00.000000000Z,141.503,141.588,141.464,141.54,2563
2024-01-02T05:00:00.000000000Z,141.54,141.54,141.348,141.35,3272
2024-01-02T06:00:00.000000000Z,141.349,141.555,141.339,141.523,3575
2024-01-02T07:00:00.000000000Z,141.524,141.606,141.39,141.548,7473
2024-01-02T08:00:00.000000000Z,141.547,141.594,141.294,141.556,10169
2024-01-02T09:00:00.000000000Z,141.557,141.673,141.38,141.555,7978
2024-01-02T10:00:00.000000000Z,141.554,141.773,141.509,141.653,7815
2024-01-02T11:00:00.000000000Z,141.652,141.89,141.594,141.827,7928
2024-01-02T12:00:00.000000000Z,141.829,142.216,141.792,142.116,8432
2024-01-02T13:00:00.000000000Z,142.117,142.159,141.888,142.15,9511
2024-01-02T14:00:00.000000000Z,142.15,142.174,141.514,141.554,13287
2024-01-02T15:00:00.000000000Z,141.554,142.018,141.502,141.928,14017
2024-01-02T16:00:00.000000000Z,141.926,142.001,141.715,141.896,9943
2024-01-02T17:00:00.000000000Z,141.896,142.001,141.882,141.973,5688
2024-01-02T18:00:00.000000000Z,141.974,142.001,141.85,141.954,3780
2024-01-02T19:00:00.000000000Z,141.952,142.002,141.902,141.95,2857
2024-01-02T20:00:00.000000000Z,141.951,141.976,141.807,141.968,3539
2024-01-02T21:00:00.000000000Z,141.968,142.02,141.948,142.006,2109
2024-01-02T22:00:00.000000000Z,141.905,142.086,141.899,142.078,558
2024-01-02T23:00:00.000000000Z,142.07,142.184,142.046,142.177,2363
2024-01-03T00:00:00.000000000Z,142.176,142.176,141.861,141.956,4675
2024-01-03T01:00:00.000000000Z,141.957,142.136,141.91,142.017,4414
2024-01-03T02:00:00.000000000Z,142.018,142.066,141.988,142.038,3589
2024-01-03T03:00:00.000000000Z,142.042,142.046,141.882,141.89,3512
2024-01-03T04:00:00.000000000Z,141.891,141.946,141.859,141.906,3633
2024-01-03T05:00:00.000000000Z,141.91,142.136,141.906,142.126,3340
2024-01-03T06:00:00.000000000Z,142.12,142.134,142.015,142.09,3816
2024-01-03T07:00:00.000000000Z,142.088,142.472,142.038,142.42,9264
2024-01-03T08:00:00.000000000Z,142.422,142.646,142.4,142.576,9578
2024-01-03T09:00:00.000000000Z,142.577,142.714,142.504,142.64,8234
2024-01-03T10:00:00.000000000Z,142.639,142.796,142.602,142.65,5517
2024-01-03T11:00:00.000000000Z,142.652,142.984,142.59,142.935,6976
2024-01-03T12:00:00.000000000Z,142.934,142.99,142.79,142.936,8027
2024-01-03T13:00:00.000000000Z,142.938,143.09,142.818,143.02,10921
2024-01-03T14:00:00.000000000Z,143.019,143.41,142.964,143.234,11861
2024-01-03T15:00:00.000000000Z,143.296,143.73,142.812,143.6,17484
2024-01-03T16:00:00.000000000Z,143.596,143.596,143.34,143.558,10487
2024-01-03T17:00:00.000000000Z,143.558,143.73,143.497,143.606,6512
2024-01-03T18:00:00.000000000Z,143.608,143.674,143.466,143.582,6052
2024-01-03T19:00:00.000000000Z,143.578,143.736,143.137,143.239,14095
2024-01-03T20:00:00.000000000Z,143.241,143.278,143.12,143.239,6848
2024-01-03T21:00:00.000000000Z,143.24,143.314,143.232,143.303,2039
2024-01-03T22:00:00.000000000Z,143.257,143.26,143.11,143.146,576
2024-01-03T23:00:00.000000000Z,143.144,143.154,142.952,142.998,3220
2024-01-04T00:00:00.000000000Z,142.997,143.322,142.854,143.27,6957
2024-01-04T01:00:00.000000000Z,143.272,143.449,143.124,143.431,6203
2024-01-04T02:00:00.000000000Z,143.432,143.488,143.35,143.473,4404
2024-01-04T03:00:00.000000000Z,143.474,143.474,143.226,143.346,4598
2024-01-04T04:00:00.000000000Z,143.347,143.604,143.332,143.569,4503
2024-01-04T05:00:00.000000000Z,143.568,143.898,143.568,143.778,7282
2024-01-04T06:00:00.000000000Z,143.78,143.808,143.516,143.526,7878
2024-01-04T07:00:00.000000000Z,143.527,143.586,143.181,143.378,10564
2024-01-04T08:00:00.000000000Z,143.377,143.647,143.365,143.59,10184
2024-01-04T09:00:00.000000000Z,143.591,143.896,143.565,143.868,9679
2024-01-04T10:00:00.000000000Z,143.868,144.272,143.867,144.256,9084
2024-01-04T11:00:00.000000000Z,144.254,144.297,144.134,144.258,7473
2024-01-04T12:00:00.000000000Z,144.258,144.266,144.064,144.222,8089
2024-01-04T13:00:00.000000000Z,144.22,144.553,144.118,144.536,12519
2024-01-04T14:00:00.000000000Z,144.537,144.852,144.52,144.786,10680
2024-01-04T15:00:00.000000000Z,144.784,144.802,144.472,144.664,11705
2024-01-04T16:00:00.000000000Z,144.664,144.664,144.46,144.595,8949
2024-01-04T17:00:00.000000000Z,144.594,144.653,144.515,144.597,5065
2024-01-04T18:00:00.000000000Z,144.598,144.71,144.55,144.603,3897
2024-01-04T19:00:00.000000000Z,144.602,144.644,144.516,144.579,3664
2024-01-04T20:00:00.000000000Z,144.578,144.614,144.514,144.592,2738
2024-01-04T21:00:00.000000000Z,144.592,144.67,144.576,144.632,2172
2024-01-04T22:00:00.000000000Z,144.584,144.632,144.558,144.594,567
2024-01-04T23:00:00.000000000Z,144.592,144.778,144.592,144.776,1820
2024-01-05T00:00:00.000000000Z,144.776,144.904,144.66,144.801,6603
2024-01-05T01:00:00.000000000Z,144.801,144.846,144.67,144.742,6985
2024-01-05T02:00:00.000000000Z,144.743,144.84,144.68,144.818,5060
2024-01-05T03:00:00.000000000Z,144.819,144.956,144.772,144.927,4910
2024-01-05T04:00:00.000000000Z,144.926,144.949,144.802,144.852,4567
2024-01-05T05:00:00.000000000Z,144.858,144.876,144.658,144.728,5231
2024-01-05T06:00:00.000000000Z,144.722,145.37,144.698,145.239,8736
2024-01-05T07:00:00.000000000Z,145.244,145.255,144.966,145.078,8672
2024-01-05T08:00:00.000000000Z,145.077,145.107,144.852,145.078,9085
2024-01-05T09:00:00.000000000Z,145.077,145.206,145.005,145.186,7597
2024-01-05T10:00:00.000000000Z,145.188,145.378,145.18,145.214,6588
2024-01-05T11:00:00.000000000Z,145.22,145.355,145.166,145.27,5431
2024-01-05T12:00:00.000000000Z,145.271,145.3,145.07,145.095,5440
2024-01-05T13:00:00.000000000Z,145.096,145.979,145.054,145.468,19203
2024-01-05T14:00:00.000000000Z,145.465,145.485,144.93,145.094,18243
2024-01-05T15:00:00.000000000Z,145.026,145.026,143.808,144.132,25261
2024-01-05T16:00:00.000000000Z,144.132,144.546,144.066,144.528,11882
2024-01-05T17:00:00.000000000Z,144.528,144.832,144.525,144.746,9133
2024-01-05T18:00:00.000000000Z,144.746,144.898,144.612,144.632,6649
