time,open,high,low,close,volume
2026-01-01T22:00:00.000000000Z,156.725,156.766,156.718,156.766,220
2026-01-01T23:00:00.000000000Z,156.772,156.887,156.705,156.723,2589
2026-01-02T00:00:00.000000000Z,156.724,156.766,156.544,156.569,4265
2026-01-02T01:00:00.000000000Z,156.568,156.658,156.522,156.635,4810
2026-01-02T02:00:00.000000000Z,156.636,156.687,156.594,156.684,3017
2026-01-02T03:00:00.000000000Z,156.685,156.726,156.65,156.718,2481
2026-01-02T04:00:00.000000000Z,156.719,156.862,156.718,156.824,3474
2026-01-02T05:00:00.000000000Z,156.825,156.946,156.82,156.912,2970
2026-01-02T06:00:00.000000000Z,156.912,156.998,156.91,156.955,4685
2026-01-02T07:00:00.000000000Z,156.956,156.996,156.832,156.862,8029
2026-01-02T08:00:00.000000000Z,156.863,157.0,156.82,156.88,9152
2026-01-02T09:00:00.000000000Z,156.878,156.919,156.77,156.914,7822
2026-01-02T10:00:00.000000000Z,156.912,156.928,156.804,156.846,6512
2026-01-02T11:00:00.000000000Z,156.845,156.95,156.827,156.92,6605
2026-01-02T12:00:00.000000000Z,156.921,157.004,156.873,156.941,5639
2026-01-02T13:00:00.000000000Z,156.94,156.961,156.832,156.908,7627
2026-01-02T14:00:00.000000000Z,156.907,156.922,156.81,156.854,9999
2026-01-02T15:00:00.000000000Z,156.855,156.894,156.563,156.591,14162
2026-01-02T16:00:00.000000000Z,156.592,156.773,156.563,156.726,10121
2026-01-02T17:00:00.000000000Z,156.724,156.784,156.708,156.772,6507
2026-01-02T18:00:00.000000000Z,156.773,156.948,156.764,156.894,5643
2026-01-02T19:00:00.000000000Z,156.892,156.956,156.846,156.856,4058
2026-01-02T20:00:00.000000000Z,156.857,156.914,156.846,156.876,4430
2026-01-02T21:00:00.000000000Z,156.876,156.89,156.812,156.837,2564
2026-01-04T22:00:00.000000000Z,156.756,156.83,156.711,156.776,2477
2026-01-04T23:00:00.000000000Z,156.784,157.028,156.72,157.002,6055
2026-01-05T00:00:00.000000000Z,157.0,157.252,156.924,157.146,13546
2026-01-05T01:00:00.000000000Z,157.147,157.183,156.942,157.014,13150
2026-01-05T02:00:00.000000000Z,157.016,157.206,156.952,157.149,8580
2026-01-05T03:00:00.000000000Z,157.15,157.24,157.129,157.234,6997
2026-01-05T04:00:00.000000000Z,157.236,157.3,157.222,157.282,5750
2026-01-05T05:00:00.000000000Z,157.282,157.293,157.117,157.184,6526
2026-01-05T06:00:00.000000000Z,157.186,157.234,157.014,157.034,7824
2026-01-05T07:00:00.000000000Z,157.032,157.083,156.977,156.993,9224
2026-01-05T08:00:00.000000000Z,156.992,157.042,156.69,156.833,15107
2026-01-05T09:00:00.000000000Z,156.832,157.001,156.784,156.928,9685
2026-01-05T10:00:00.000000000Z,156.927,156.94,156.576,156.605,10518
2026-01-05T11:00:00.000000000Z,156.604,156.663,156.532,156.624,8740
2026-01-05T12:00:00.000000000Z,156.624,156.686,156.468,156.649,9881
2026-01-05T13:00:00.000000000Z,156.65,156.979,156.642,156.824,15272
2026-01-05T14:00:00.000000000Z,156.824,156.856,156.706,156.746,17885
2026-01-05T15:00:00.000000000Z,156.748,156.75,156.454,156.58,16331
2026-01-05T16:00:00.000000000Z,156.58,156.59,156.305,156.326,12588
2026-01-05T17:00:00.000000000Z,156.325,156.385,156.268,156.332,7444
2026-01-05T18:00:00.000000000Z,156.332,156.36,156.183,156.188,4715
2026-01-05T19:00:00.000000000Z,156.186,156.246,156.116,156.231,7483
2026-01-05T20:00:00.000000000Z,156.231,156.34,156.182,156.34,5188
2026-01-05T21:00:00.000000000Z,156.34,156.424,156.324,156.404,2653
2026-01-05T22:00:00.000000000Z,156.377,156.532,156.325,156.523,1478
2026-01-05T23:00:00.000000000Z,156.524,156.648,156.49,156.617,2922
2026-01-06T00:00:00.000000000Z,156.616,156.798,156.527,156.536,11991
2026-01-06T01:00:00.000000000Z,156.536,156.712,156.453,156.454,10640
2026-01-06T02:00:00.000000000Z,156.453,156.503,156.272,156.31,7952
2026-01-06T03:00:00.000000000Z,156.31,156.44,156.294,156.36,6476
2026-01-06T04:00:00.000000000Z,156.361,156.44,156.24,156.382,6382
2026-01-06T05:00:00.000000000Z,156.383,156.448,156.29,156.43,6779
2026-01-06T06:00:00.000000000Z,156.43,156.48,156.332,156.372,8575
2026-01-06T07:00:00.000000000Z,156.372,156.374,156.232,156.336,10218
2026-01-06T08:00:00.000000000Z,156.336,156.391,156.164,156.322,12224
2026-01-06T09:00:00.000000000Z,156.32,156.484,156.232,156.378,11513
2026-01-06T10:00:00.000000000Z,156.378,156.465,156.28,156.448,10762
2026-01-06T11:00:00.000000000Z,156.448,156.538,156.408,156.452,7912
2026-01-06T12:00:00.000000000Z,156.451,156.517,156.297,156.5,9670
2026-01-06T13:00:00.000000000Z,156.499,156.582,156.353,156.371,14839
2026-01-06T14:00:00.000000000Z,156.371,156.479,156.301,156.408,13911
2026-01-06T15:00:00.000000000Z,156.408,156.692,156.404,156.578,16763
2026-01-06T16:00:00.000000000Z,156.577,156.736,156.572,156.707,9792
2026-01-06T17:00:00.000000000Z,156.706,156.744,156.672,156.692,6359
2026-01-06T18:00:00.000000000Z,156.691,156.75,156.664,156.738,4676
2026-01-06T19:00:00.000000000Z,156.738,156.746,156.612,156.63,4146
2026-01-06T20:00:00.000000000Z,156.63,156.654,156.571,156.652,4944
2026-01-06T21:00:00.000000000Z,156.652,156.688,156.62,156.663,2812
2026-01-06T22:00:00.000000000Z,156.634,156.657,156.618,156.633,1220
2026-01-06T23:00:00.000000000Z,156.632,156.704,156.62,156.664,2006
2026-01-07T00:00:00.000000000Z,156.663,156.81,156.542,156.636,10976
2026-01-07T01:00:00.000000000Z,156.635,156.748,156.562,156.72,7640
2026-01-07T02:00:00.000000000Z,156.721,156.731,156.644,156.648,5253
2026-01-07T03:00:00.000000000Z,156.648,156.655,156.51,156.563,5167
2026-01-07T04:00:00.000000000Z,156.564,156.586,156.514,156.54,5871
2026-01-07T05:00:00.000000000Z,156.54,156.542,156.367,156.387,6727
2026-01-07T06:00:00.000000000Z,156.388,156.394,156.306,156.343,7724
2026-01-07T07:00:00.000000000Z,156.342,156.516,156.294,156.486,8364
2026-01-07T08:00:00.000000000Z,156.486,156.586,156.461,156.528,8472
2026-01-07T09:00:00.000000000Z,156.527,156.576,156.432,156.464,6202
2026-01-07T10:00:00.000000000Z,156.464,156.54,156.444,156.53,6092
2026-01-07T11:00:00.000000000Z,156.532,156.582,156.512,156.515,4524
2026-01-07T12:00:00.000000000Z,156.514,156.566,156.477,156.511,5934
2026-01-07T13:00:00.000000000Z,156.512,156.598,156.362,156.419,11284
2026-01-07T14:00:00.000000000Z,156.418,156.557,156.393,156.412,11486
2026-01-07T15:00:00.000000000Z,156.433,156.725,156.408,156.682,19825
2026-01-07T16:00:00.000000000Z,156.682,156.802,156.643,156.734,8722
2026-01-07T17:00:00.000000000Z,156.731,156.731,156.574,156.62,6422
2026-01-07T18:00:00.000000000Z,156.621,156.704,156.596,156.697,5554
2026-01-07T19:00:00.000000000Z,156.696,156.762,156.684,156.744,4680
2026-01-07T20:00:00.000000000Z,156.744,156.79,156.726,156.778,4166
2026-01-07T21:00:00.000000000Z,156.778,156.802,156.752,156.757,1714
2026-01-07T22:00:00.000000000Z,156.748,156.752,156.643,156.689,866
2026-01-07T23:00:00.000000000Z,156.691,156.76,156.661,156.7,1881
2026-01-08T00:00:00.000000000Z,156.7,156.802,156.676,156.789,7563
2026-01-08T01:00:00.000000000Z,156.788,156.945,156.714,156.913,7201
2026-01-08T02:00:00.000000000Z,156.912,156.955,156.824,156.838,4597
2026-01-08T03:00:00.000000000Z,156.838,156.84,156.634,156.719,5701
2026-01-08T04:00:00.000000000Z,156.718,156.732,156.666,156.693,4418
2026-01-08T05:00:00.000000000Z,156.695,156.733,156.644,156.672,5941
2026-01-08T06:00:00.000000000Z,156.671,156.69,156.502,156.582,9032
2026-01-08T07:00:00.000000000Z,156.579,156.698,156.468,156.47,8835
2026-01-08T08:00:00.000000000Z,156.47,156.716,156.46,156.708,10128
2026-01-08T09:00:00.000000000Z,156.708,156.784,156.631,156.746,6787
