time,open,high,low,close,volume
2025-01-01T22:00:00.000000000Z,0.90656,0.9069,0.90599,0.90646,914
2025-01-01T23:00:00.000000000Z,0.9064,0.90785,0.90636,0.90774,1093
2025-01-02T00:00:00.000000000Z,0.90776,0.90785,0.90656,0.90686,1222
2025-01-02T01:00:00.000000000Z,0.90688,0.90746,0.90601,0.90606,2225
2025-01-02T02:00:00.000000000Z,0.90606,0.90606,0.90513,0.90513,794
2025-01-02T03:00:00.000000000Z,0.90516,0.9052,0.90466,0.90471,703
2025-01-02T04:00:00.000000000Z,0.90468,0.90482,0.90426,0.9045,784
2025-01-02T05:00:00.000000000Z,0.90449,0.90518,0.9044,0.90504,1080
2025-01-02T06:00:00.000000000Z,0.90504,0.90523,0.90478,0.90484,1750
2025-01-02T07:00:00.000000000Z,0.90484,0.90488,0.90395,0.90474,2008
2025-01-02T08:00:00.000000000Z,0.90474,0.90592,0.90446,0.90495,4043
2025-01-02T09:00:00.000000000Z,0.90496,0.90524,0.90392,0.90482,3023
2025-01-02T10:00:00.000000000Z,0.90481,0.90746,0.90451,0.90732,4815
2025-01-02T11:00:00.000000000Z,0.90733,0.90804,0.90632,0.9078,3918
2025-01-02T12:00:00.000000000Z,0.9078,0.9083,0.9072,0.90817,3323
2025-01-02T13:00:00.000000000Z,0.90816,0.90903,0.90767,0.90872,6853
2025-01-02T14:00:00.000000000Z,0.90872,0.90961,0.90783,0.9095,4738
2025-01-02T15:00:00.000000000Z,0.90948,0.9109,0.90919,0.91074,6671
2025-01-02T16:00:00.000000000Z,0.91077,0.91372,0.91075,0.91243,9650
2025-01-02T17:00:00.000000000Z,0.91242,0.91306,0.91186,0.91242,3486
2025-01-02T18:00:00.000000000Z,0.91241,0.91253,0.9121,0.91232,2136
2025-01-02T19:00:00.000000000Z,0.91231,0.91356,0.91224,0.91344,1903
2025-01-02T20:00:00.000000000Z,0.91342,0.91344,0.91256,0.91275,1513
2025-01-02T21:00:00.000000000Z,0.91274,0.91277,0.91229,0.9123,1087
2025-01-02T22:00:00.000000000Z,0.91188,0.91231,0.91184,0.91207,1046
2025-01-02T23:00:00.000000000Z,0.91206,0.91246,0.91202,0.91207,637
2025-01-03T00:00:00.000000000Z,0.91208,0.91225,0.91146,0.91154,1704
2025-01-03T01:00:00.000000000Z,0.91154,0.91198,0.91148,0.91156,1395
2025-01-03T02:00:00.000000000Z,0.91158,0.9116,0.91092,0.9111,1120
2025-01-03T03:00:00.000000000Z,0.91112,0.9122,0.91106,0.91202,1089
2025-01-03T04:00:00.000000000Z,0.91204,0.91248,0.91184,0.91186,821
2025-01-03T05:00:00.000000000Z,0.91187,0.91188,0.9112,0.91146,1167
2025-01-03T06:00:00.000000000Z,0.91144,0.91167,0.91074,0.91082,1216
2025-01-03T07:00:00.000000000Z,0.91083,0.91123,0.90992,0.91023,3370
2025-01-03T08:00:00.000000000Z,0.9102,0.911,0.91,0.91047,2921
2025-01-03T09:00:00.000000000Z,0.91048,0.91048,0.90862,0.9092,3163
2025-01-03T10:00:00.000000000Z,0.90916,0.9099,0.90899,0.90986,2098
2025-01-03T11:00:00.000000000Z,0.90986,0.90986,0.90886,0.90934,1946
2025-01-03T12:00:00.000000000Z,0.90934,0.90946,0.90875,0.9092,2128
2025-01-03T13:00:00.000000000Z,0.90916,0.90961,0.90887,0.90936,2640
2025-01-03T14:00:00.000000000Z,0.90938,0.90988,0.90804,0.90836,3017
2025-01-03T15:00:00.000000000Z,0.90842,0.9108,0.90842,0.91066,7184
2025-01-03T16:00:00.000000000Z,0.91067,0.91068,0.90932,0.90969,2721
2025-01-03T17:00:00.000000000Z,0.90968,0.90968,0.9086,0.90928,2673
2025-01-03T18:00:00.000000000Z,0.90927,0.90984,0.90902,0.90949,2036
2025-01-03T19:00:00.000000000Z,0.9095,0.90964,0.90858,0.90908,1499
2025-01-03T20:00:00.000000000Z,0.90909,0.90929,0.90866,0.90892,1371
2025-01-03T21:00:00.000000000Z,0.90894,0.90907,0.90842,0.90845,884
2025-01-05T22:00:00.000000000Z,0.90874,0.90921,0.90856,0.909,951
2025-01-05T23:00:00.000000000Z,0.90886,0.90945,0.90881,0.90938,1349
2025-01-06T00:00:00.000000000Z,0.90941,0.91053,0.9094,0.90981,2504
2025-01-06T01:00:00.000000000Z,0.90982,0.91008,0.90928,0.90988,2089
2025-01-06T02:00:00.000000000Z,0.90988,0.90995,0.90952,0.90956,1554
2025-01-06T03:00:00.000000000Z,0.90957,0.90972,0.90928,0.9094,1010
2025-01-06T04:00:00.000000000Z,0.9094,0.9095,0.9092,0.90932,772
2025-01-06T05:00:00.000000000Z,0.90932,0.9097,0.90912,0.90961,1034
2025-01-06T06:00:00.000000000Z,0.90965,0.90998,0.90946,0.9097,1981
2025-01-06T07:00:00.000000000Z,0.90968,0.90991,0.90799,0.90814,2231
2025-01-06T08:00:00.000000000Z,0.90814,0.9082,0.90612,0.90624,3689
2025-01-06T09:00:00.000000000Z,0.90624,0.90666,0.9054,0.90599,5051
2025-01-06T10:00:00.000000000Z,0.90598,0.90664,0.90569,0.9066,2950
2025-01-06T11:00:00.000000000Z,0.90659,0.90676,0.90122,0.90182,10819
2025-01-06T12:00:00.000000000Z,0.90186,0.90304,0.90121,0.90183,6744
2025-01-06T13:00:00.000000000Z,0.9018,0.90258,0.90084,0.90229,7354
2025-01-06T14:00:00.000000000Z,0.90227,0.90676,0.9017,0.90413,14553
2025-01-06T15:00:00.000000000Z,0.90414,0.90606,0.9038,0.90497,8393
