time,open,high,low,close,volume
2023-01-01T23:00:00.000000000Z,0.92399,0.92428,0.92373,0.92382,21
2023-01-02T00:00:00.000000000Z,0.92393,0.92481,0.92393,0.92436,38
2023-01-02T01:00:00.000000000Z,0.92422,0.92445,0.92369,0.92433,243
2023-01-02T02:00:00.000000000Z,0.92432,0.9246,0.92432,0.92456,154
2023-01-02T03:00:00.000000000Z,0.92454,0.92462,0.92448,0.92459,164
2023-01-02T04:00:00.000000000Z,0.92456,0.92456,0.92304,0.92422,170
2023-01-02T05:00:00.000000000Z,0.9242,0.92454,0.92408,0.92448,512
2023-01-02T06:00:00.000000000Z,0.9245,0.9247,0.92348,0.92408,1223
2023-01-02T07:00:00.000000000Z,0.92401,0.92612,0.92156,0.92279,1733
2023-01-02T08:00:00.000000000Z,0.92269,0.92518,0.92269,0.92478,1216
2023-01-02T09:00:00.000000000Z,0.92478,0.92506,0.92361,0.92458,6072
2023-01-02T10:00:00.000000000Z,0.92458,0.9247,0.92383,0.92433,13146
2023-01-02T11:00:00.000000000Z,0.92432,0.92444,0.92362,0.92411,26393
2023-01-02T12:00:00.000000000Z,0.92408,0.92438,0.92378,0.92425,3899
2023-01-02T13:00:00.000000000Z,0.92426,0.92438,0.92398,0.92432,1927
2023-01-02T14:00:00.000000000Z,0.92429,0.92551,0.92424,0.9255,3742
2023-01-02T15:00:00.000000000Z,0.9255,0.92576,0.92537,0.92572,697
2023-01-02T16:00:00.000000000Z,0.92572,0.92586,0.92512,0.92564,3732
2023-01-02T17:00:00.000000000Z,0.92564,0.92569,0.92559,0.92566,724
2023-01-02T18:00:00.000000000Z,0.92566,0.92569,0.92561,0.92562,355
2023-01-02T19:00:00.000000000Z,0.92563,0.9259,0.92464,0.92478,2712
2023-01-02T20:00:00.000000000Z,0.9247,0.92534,0.92432,0.9245,96
2023-01-02T21:00:00.000000000Z,0.92444,0.92508,0.92424,0.92508,41
2023-01-02T22:00:00.000000000Z,0.92559,0.92627,0.92512,0.9262,13
2023-01-02T23:00:00.000000000Z,0.92613,0.92728,0.9242,0.92473,2431
2023-01-03T00:00:00.000000000Z,0.92453,0.92512,0.92326,0.92395,10705
2023-01-03T01:00:00.000000000Z,0.92396,0.92519,0.92396,0.9245,4055
2023-01-03T02:00:00.000000000Z,0.9245,0.92476,0.92314,0.92324,2751
2023-01-03T03:00:00.000000000Z,0.92325,0.92398,0.92314,0.92376,2303
2023-01-03T04:00:00.000000000Z,0.92373,0.92414,0.92344,0.92412,2019
2023-01-03T05:00:00.000000000Z,0.92412,0.92483,0.92389,0.92466,2656
2023-01-03T06:00:00.000000000Z,0.92466,0.92516,0.92425,0.92495,2864
2023-01-03T07:00:00.000000000Z,0.92487,0.92721,0.92428,0.9268,4185
2023-01-03T08:00:00.000000000Z,0.92678,0.93521,0.9266,0.9351,9246
2023-01-03T09:00:00.000000000Z,0.9351,0.93824,0.9349,0.93704,6841
2023-01-03T10:00:00.000000000Z,0.93708,0.93888,0.93676,0.9385,4120
2023-01-03T11:00:00.000000000Z,0.9385,0.93987,0.93832,0.9397,3388
2023-01-03T12:00:00.000000000Z,0.93969,0.93974,0.93727,0.93768,3158
2023-01-03T13:00:00.000000000Z,0.93768,0.93796,0.93488,0.93574,5404
2023-01-03T14:00:00.000000000Z,0.93576,0.93648,0.9318,0.93297,6066
2023-01-03T15:00:00.000000000Z,0.93294,0.93828,0.93278,0.93822,7244
2023-01-03T16:00:00.000000000Z,0.93824,0.93922,0.93684,0.93692,5302
2023-01-03T17:00:00.000000000Z,0.93696,0.93785,0.93648,0.93712,3022
2023-01-03T18:00:00.000000000Z,0.93713,0.93762,0.93616,0.93664,2850
2023-01-03T19:00:00.000000000Z,0.93664,0.93672,0.935,0.935,2758
2023-01-03T20:00:00.000000000Z,0.93497,0.93602,0.93488,0.93596,3137
2023-01-03T21:00:00.000000000Z,0.93598,0.9362,0.93566,0.9358,1526
2023-01-03T22:00:00.000000000Z,0.93598,0.93742,0.93598,0.93619,919
2023-01-03T23:00:00.000000000Z,0.93618,0.93669,0.9358,0.93624,2433
2023-01-04T00:00:00.000000000Z,0.93624,0.93626,0.93449,0.93466,2715
2023-01-04T01:00:00.000000000Z,0.93465,0.93484,0.93322,0.93342,3131
2023-01-04T02:00:00.000000000Z,0.93346,0.93442,0.93311,0.93436,1750
2023-01-04T03:00:00.000000000Z,0.93435,0.93435,0.93341,0.93342,2321
2023-01-04T04:00:00.000000000Z,0.9334,0.9336,0.93254,0.93277,2743
2023-01-04T05:00:00.000000000Z,0.93278,0.93416,0.93249,0.93394,2488
2023-01-04T06:00:00.000000000Z,0.9339,0.93412,0.93224,0.93226,2954
2023-01-04T07:00:00.000000000Z,0.93237,0.93274,0.92843,0.92946,4938
2023-01-04T08:00:00.000000000Z,0.92946,0.92946,0.92536,0.92732,7334
2023-01-04T09:00:00.000000000Z,0.92732,0.92812,0.92618,0.92722,4310
2023-01-04T10:00:00.000000000Z,0.9272,0.92754,0.92636,0.92689,2968
2023-01-04T11:00:00.000000000Z,0.92689,0.92786,0.92641,0.92779,2855
2023-01-04T12:00:00.000000000Z,0.92778,0.92866,0.92738,0.92804,3611
2023-01-04T13:00:00.000000000Z,0.928,0.92911,0.92663,0.92748,4846
2023-01-04T14:00:00.000000000Z,0.92746,0.92868,0.9267,0.92762,5337
2023-01-04T15:00:00.000000000Z,0.92769,0.93148,0.92768,0.92928,10387
2023-01-04T16:00:00.000000000Z,0.92927,0.93013,0.92687,0.92724,4790
2023-01-04T17:00:00.000000000Z,0.92722,0.92894,0.92696,0.92894,3186
2023-01-04T18:00:00.000000000Z,0.92895,0.93037,0.92866,0.93001,3573
2023-01-04T19:00:00.000000000Z,0.93,0.931,0.92891,0.92944,6727
2023-01-04T20:00:00.000000000Z,0.92948,0.93005,0.92908,0.93002,3186
2023-01-04T21:00:00.000000000Z,0.93007,0.93024,0.9296,0.92961,1233
2023-01-04T22:00:00.000000000Z,0.92981,0.93038,0.92941,0.92976,983
2023-01-04T23:00:00.000000000Z,0.92975,0.93014,0.92922,0.92975,2299
2023-01-05T00:00:00.000000000Z,0.92975,0.92989,0.9281,0.92834,3453
2023-01-05T01:00:00.000000000Z,0.92834,0.92878,0.92801,0.92836,3265
2023-01-05T02:00:00.000000000Z,0.92836,0.92928,0.92836,0.92884,2570
2023-01-05T03:00:00.000000000Z,0.92886,0.92982,0.92878,0.92968,2049
2023-01-05T04:00:00.000000000Z,0.92971,0.93043,0.92948,0.93036,2312
2023-01-05T05:00:00.000000000Z,0.93032,0.93081,0.9301,0.93017,2428
2023-01-05T06:00:00.000000000Z,0.93016,0.93056,0.929,0.93056,3036
2023-01-05T07:00:00.000000000Z,0.93056,0.93081,0.92854,0.92874,3546
2023-01-05T08:00:00.000000000Z,0.92873,0.92899,0.9272,0.92746,4486
2023-01-05T09:00:00.000000000Z,0.9274,0.92838,0.92612,0.9266,3359
2023-01-05T10:00:00.000000000Z,0.9265,0.92736,0.92612,0.92638,3032
2023-01-05T11:00:00.000000000Z,0.92636,0.9278,0.92608,0.92697,2528
2023-01-05T12:00:00.000000000Z,0.92699,0.92834,0.92656,0.9283,2822
2023-01-05T13:00:00.000000000Z,0.9283,0.93352,0.92762,0.93348,8588
2023-01-05T14:00:00.000000000Z,0.93348,0.93616,0.9328,0.93598,7575
2023-01-05T15:00:00.000000000Z,0.93594,0.9378,0.93419,0.93752,8599
2023-01-05T16:00:00.000000000Z,0.93758,0.93767,0.93578,0.9365,4617
2023-01-05T17:00:00.000000000Z,0.93649,0.93668,0.93555,0.93616,3038
2023-01-05T18:00:00.000000000Z,0.93616,0.93662,0.93478,0.93548,3754
2023-01-05T19:00:00.000000000Z,0.93549,0.93602,0.93536,0.93595,2745
2023-01-05T20:00:00.000000000Z,0.93596,0.93657,0.93588,0.93656,1950
2023-01-05T21:00:00.000000000Z,0.93656,0.93688,0.9361,0.93632,1619
2023-01-05T22:00:00.000000000Z,0.93634,0.93664,0.93588,0.93592,520
2023-01-05T23:00:00.000000000Z,0.93603,0.93644,0.93582,0.93624,3718
2023-01-06T00:00:00.000000000Z,0.93625,0.93646,0.9353,0.9355,2325
2023-01-06T01:00:00.000000000Z,0.93548,0.93628,0.93514,0.93614,2304
2023-01-06T02:00:00.000000000Z,0.93614,0.9362,0.9353,0.93614,1784
2023-01-06T03:00:00.000000000Z,0.93613,0.9362,0.93551,0.93608,2114
2023-01-06T04:00:00.000000000Z,0.93606,0.93645,0.93584,0.93645,1678
2023-01-06T05:00:00.000000000Z,0.93644,0.93785,0.9363,0.93759,2022
2023-01-06T06:00:00.000000000Z,0.93758,0.9376,0.93664,0.93712,2543
2023-01-06T07:00:00.000000000Z,0.93701,0.93842,0.93652,0.93812,3886
2023-01-06T08:00:00.000000000Z,0.93816,0.93915,0.93728,0.93906,3960
2023-01-06T09:00:00.000000000Z,0.93906,0.94054,0.93874,0.94004,3626
2023-01-06T10:00:00.000000000Z,0.94002,0.94019,0.93906,0.94016,3118
2023-01-06T11:00:00.000000000Z,0.94012,0.94044,0.93863,0.93982,2628
2023-01-06T12:00:00.000000000Z,0.9398,0.94076,0.93939,0.93953,3501
2023-01-06T13:00:00.000000000Z,0.93954,0.94096,0.93448,0.93514,11828
2023-01-06T14:00:00.000000000Z,0.93511,0.94,0.93496,0.93929,8953
2023-01-06T15:00:00.000000000Z,0.9393,0.93967,0.93013,0.93116,12810
2023-01-06T16:00:00.000000000Z,0.93115,0.93169,0.92904,0.92937,6029
2023-01-06T17:00:00.000000000Z,0.92936,0.92969,0.9281,0.92827,3704
2023-01-06T18:00:00.000000000Z,0.92826,0.92868,0.92772,0.92816,2813
2023-01-06T19:00:00.000000000Z,0.92816,0.92822,0.92718,0.92752,2485
2023-01-06T20:00:00.000000000Z,0.92756,0.92777,0.92706,0.9277,2121
2023-01-06T21:00:00.000000000Z,0.9277,0.92836,0.92742,0.9279,1440
2023-01-08T22:00:00.000000000Z,0.92784,0.92848,0.92784,0.92833,73
2023-01-08T23:00:00.000000000Z,0.92827,0.92827,0.92646,0.92648,3694
2023-01-09T00:00:00.000000000Z,0.9265,0.92802,0.9263,0.9272,2931
2023-01-09T01:00:00.000000000Z,0.9272,0.92796,0.9265,0.92664,4056
2023-01-09T02:00:00.000000000Z,0.92664,0.92667,0.92524,0.92538,2442
2023-01-09T03:00:00.000000000Z,0.92541,0.9263,0.9254,0.92622,2560
2023-01-09T04:00:00.000000000Z,0.92624,0.92624,0.92542,0.92585,1929
2023-01-09T05:00:00.000000000Z,0.92586,0.9262,0.92528,0.92566,2052
2023-01-09T06:00:00.000000000Z,0.92562,0.9258,0.92499,0.92554,2872
2023-01-09T07:00:00.000000000Z,0.92544,0.92566,0.92383,0.92488,3903
2023-01-09T08:00:00.000000000Z,0.92487,0.92498,0.92168,0.92261,4839
2023-01-09T09:00:00.000000000Z,0.9226,0.92506,0.92218,0.92448,3775
2023-01-09T10:00:00.000000000Z,0.92448,0.92522,0.92422,0.92504,3412
2023-01-09T11:00:00.000000000Z,0.92501,0.92511,0.9235,0.92397,2736
2023-01-09T12:00:00.000000000Z,0.92398,0.92419,0.92213,0.92232,3274
2023-01-09T13:00:00.000000000Z,0.9223,0.92272,0.91884,0.91926,5519
2023-01-09T14:00:00.000000000Z,0.91926,0.92076,0.9181,0.91905,5390
2023-01-09T15:00:00.000000000Z,0.91904,0.91924,0.91672,0.91836,5027
2023-01-09T16:00:00.000000000Z,0.91836,0.91856,0.9176,0.91809,3646
2023-01-09T17:00:00.000000000Z,0.91806,0.9202,0.91792,0.91962,2802
2023-01-09T18:00:00.000000000Z,0.91962,0.92096,0.91942,0.9204,2342
2023-01-09T19:00:00.000000000Z,0.92038,0.9204,0.91961,0.91978,2164
2023-01-09T20:00:00.000000000Z,0.91979,0.92126,0.91962,0.92118,3092
2023-01-09T21:00:00.000000000Z,0.92122,0.9216,0.92094,0.92146,1130
2023-01-09T22:00:00.000000000Z,0.92107,0.92131,0.9208,0.9212,1300
2023-01-09T23:00:00.000000000Z,0.9212,0.92147,0.92087,0.9211,2868
2023-01-10T00:00:00.000000000Z,0.92108,0.92221,0.92088,0.92149,2962
2023-01-10T01:00:00.000000000Z,0.92154,0.92168,0.92056,0.92072,3157
2023-01-10T02:00:00.000000000Z,0.92072,0.9223,0.92063,0.92173,3084
2023-01-10T03:00:00.000000000Z,0.92176,0.92202,0.92144,0.92186,2448
2023-01-10T04:00:00.000000000Z,0.92186,0.92224,0.92169,0.92182,2200
2023-01-10T05:00:00.000000000Z,0.92181,0.92192,0.92079,0.921,3017
2023-01-10T06:00:00.000000000Z,0.92099,0.92196,0.92092,0.92144,2464
2023-01-10T07:00:00.000000000Z,0.92136,0.9224,0.92093,0.92118,3766
2023-01-10T08:00:00.000000000Z,0.92118,0.92119,0.91958,0.92006,4058
2023-01-10T09:00:00.000000000Z,0.92006,0.92079,0.91952,0.91988,3649
2023-01-10T10:00:00.000000000Z,0.91988,0.92164,0.91982,0.92146,2697
2023-01-10T11:00:00.000000000Z,0.92142,0.92212,0.92102,0.92198,2394
2023-01-10T12:00:00.000000000Z,0.92198,0.92449,0.92198,0.92444,3002
2023-01-10T13:00:00.000000000Z,0.92444,0.92524,0.92348,0.9244,3567
2023-01-10T14:00:00.000000000Z,0.9244,0.9244,0.921,0.92204,7215
2023-01-10T15:00:00.000000000Z,0.92203,0.92386,0.92054,0.92297,6753
2023-01-10T16:00:00.000000000Z,0.92296,0.92314,0.92147,0.92252,4407
2023-01-10T17:00:00.000000000Z,0.92254,0.92307,0.92186,0.92287,2348
2023-01-10T18:00:00.000000000Z,0.92291,0.9236,0.9226,0.92274,1931
2023-01-10T19:00:00.000000000Z,0.92274,0.92322,0.92242,0.92292,1443
2023-01-10T20:00:00.000000000Z,0.92292,0.92319,0.92226,0.92279,1664
