time,open,high,low,close,volume
2022-01-02T22:00:00.000000000Z,115.118,115.155,115.084,115.125,231
2022-01-02T23:00:00.000000000Z,115.11,115.158,115.099,115.144,848
2022-01-03T00:00:00.000000000Z,115.142,115.294,115.124,115.28,1771
2022-01-03T01:00:00.000000000Z,115.279,115.28,115.182,115.213,1401
2022-01-03T02:00:00.000000000Z,115.214,115.279,115.207,115.278,946
2022-01-03T03:00:00.000000000Z,115.276,115.304,115.25,115.276,801
2022-01-03T04:00:00.000000000Z,115.278,115.306,115.269,115.272,562
2022-01-03T05:00:00.000000000Z,115.274,115.318,115.274,115.312,767
2022-01-03T06:00:00.000000000Z,115.31,115.364,115.31,115.335,1414
2022-01-03T07:00:00.000000000Z,115.336,115.344,115.268,115.292,1128
2022-01-03T08:00:00.000000000Z,115.291,115.308,115.24,115.26,2241
2022-01-03T09:00:00.000000000Z,115.262,115.274,115.15,115.178,2883
2022-01-03T10:00:00.000000000Z,115.176,115.179,115.062,115.082,2422
2022-01-03T11:00:00.000000000Z,115.08,115.096,114.995,115.068,3051
2022-01-03T12:00:00.000000000Z,115.066,115.144,115.052,115.068,2114
2022-01-03T13:00:00.000000000Z,115.07,115.166,114.95,115.149,3901
2022-01-03T14:00:00.000000000Z,115.15,115.336,115.138,115.306,6097
2022-01-03T15:00:00.000000000Z,115.304,115.37,115.262,115.294,4960
2022-01-03T16:00:00.000000000Z,115.293,115.338,115.244,115.268,2995
2022-01-03T17:00:00.000000000Z,115.266,115.34,115.26,115.32,1021
2022-01-03T18:00:00.000000000Z,115.318,115.325,115.269,115.28,1020
2022-01-03T19:00:00.000000000Z,115.279,115.335,115.263,115.334,1389
2022-01-03T20:00:00.000000000Z,115.332,115.35,115.267,115.346,1334
2022-01-03T21:00:00.000000000Z,115.345,115.358,115.332,115.35,676
2022-01-03T22:00:00.000000000Z,115.328,115.358,115.306,115.342,380
2022-01-03T23:00:00.000000000Z,115.334,115.358,115.296,115.331,902
2022-01-04T00:00:00.000000000Z,115.333,115.436,115.292,115.391,2741
2022-01-04T01:00:00.000000000Z,115.39,115.488,115.342,115.418,2053
2022-01-04T02:00:00.000000000Z,115.417,115.63,115.405,115.598,2316
2022-01-04T03:00:00.000000000Z,115.599,115.816,115.56,115.709,3881
2022-01-04T04:00:00.000000000Z,115.71,115.814,115.706,115.79,2268
2022-01-04T05:00:00.000000000Z,115.788,115.803,115.744,115.749,1624
2022-01-04T06:00:00.000000000Z,115.748,115.804,115.706,115.803,1332
2022-01-04T07:00:00.000000000Z,115.804,115.804,115.653,115.739,3034
2022-01-04T08:00:00.000000000Z,115.737,115.855,115.712,115.844,3505
2022-01-04T09:00:00.000000000Z,115.845,115.89,115.793,115.83,2811
2022-01-04T10:00:00.000000000Z,115.828,115.898,115.811,115.896,2054
2022-01-04T11:00:00.000000000Z,115.898,116.176,115.896,116.148,3604
2022-01-04T12:00:00.000000000Z,116.149,116.352,116.129,116.306,4719
2022-01-04T13:00:00.000000000Z,116.306,116.348,116.24,116.261,4052
2022-01-04T14:00:00.000000000Z,116.26,116.338,116.23,116.241,4705
2022-01-04T15:00:00.000000000Z,116.237,116.259,116.039,116.141,7131
2022-01-04T16:00:00.000000000Z,116.14,116.17,115.955,116.142,4039
2022-01-04T17:00:00.000000000Z,116.14,116.197,116.132,116.173,1708
2022-01-04T18:00:00.000000000Z,116.172,116.184,116.089,116.162,1474
2022-01-04T19:00:00.000000000Z,116.162,116.18,116.08,116.114,1893
2022-01-04T20:00:00.000000000Z,116.116,116.15,116.089,116.104,1155
2022-01-04T21:00:00.000000000Z,116.104,116.151,116.1,116.148,910
2022-01-04T22:00:00.000000000Z,116.102,116.157,116.102,116.146,71
2022-01-04T23:00:00.000000000Z,116.148,116.238,116.132,116.176,1710
2022-01-05T00:00:00.000000000Z,116.178,116.244,116.121,116.198,2843
2022-01-05T01:00:00.000000000Z,116.2,116.203,115.907,116.012,3239
2022-01-05T02:00:00.000000000Z,116.014,116.06,115.957,115.99,2242
2022-01-05T03:00:00.000000000Z,115.992,116.012,115.901,116.01,1545
2022-01-05T04:00:00.000000000Z,116.008,116.08,115.954,116.058,1374
2022-01-05T05:00:00.000000000Z,116.058,116.102,115.992,116.002,1750
